Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Bleibtreu C., Stefani U.","57200334948;54582932500;","The effects of mandatory audit firm rotation on client importance and audit industry concentration",2018,"Accounting Review","93","1",,"1","27",,7,"10.2308/accr-51728","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040920978&doi=10.2308%2faccr-51728&partnerID=40&md5=2bb73b9d1f4cb61d57450fb9274388b8","University of Konstanz, Germany","Bleibtreu, C., University of Konstanz, Germany; Stefani, U., University of Konstanz, Germany","Recently, a system of audit firm rotation has been implemented for the audits of listed companies conducted in the European Union (EU). In the U.S., in contrast, the regulator decided against such rotation. Whereas proponents argue that rotation would strengthen independence and decrease audit market concentration, opponents stress the importance of auditors' learning effects, which would be eliminated by a change in auditors. In extending the market matching model of Salop (1979), we provide an analysis that integrates these contradictory views. We assume that both auditors' industry expertise and their experience in auditing a client decrease audit costs. We investigate the bidding strategies applied to re-acquire clients that were lost due to rotation, auditors' profit contributions, the equilibrium number of auditors (i.e., audit market concentration), and the economic importance of specific clients. Our findings indicate that the regulators' goals of simultaneously decreasing client importance and audit market concentration are in direct conflict and, therefore, the rotation system might have unintended consequences. Our model, thus, suggests how different institutional parameters give rise to economic forces that can support diverging decisions regarding the implementation of MAR.","Audit market structure; Client importance; Concentration; Mandatory audit firm rotation; Market matching model",,Article,"Final","",Scopus,2-s2.0-85040920978
"Chapman K., Green J.R.","57200340216;37661206200;","Analysts' influence on managers' guidance",2018,"Accounting Review","93","1",,"45","69",,2,"10.2308/accr-51778","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040913899&doi=10.2308%2faccr-51778&partnerID=40&md5=0b5c749a40d58d0ab251cc5c44f42eef","Washington University, St. Louis, United States; Pennsylvania State University, United States","Chapman, K., Washington University, St. Louis, United States; Green, J.R., Pennsylvania State University, United States","Analysts ask managers for forward-looking information in one-third of quarterly conference calls; most frequently, seeking earnings per share guidance. In this study, we examine the long-term consequences of analysts' questions on future manager disclosure choices. Using six types of commonly provided guidance, we find that when analysts request new guidance or ask about prior guidance, managers are more likely to provide similar guidance in future quarters. When analysts do not ask about prior guidance, managers are less likely to provide that type of guidance in the future. This effect is long-lasting, spills over into earnings announcements, and is strongest for firms with the most severe information problems. Our results provide evidence that analysts shape managers' disclosure choices in meaningful ways.","Information demands; Information intermediaries; Voluntary disclosure",,Article,"Final","",Scopus,2-s2.0-85040913899
"Rabier M.R.","57195573089;","Value is in the eye of the beholder: The relative valuation roles of earnings and book value in merger pricing",2018,"Accounting Review","93","1",,"335","362",,2,"10.2308/accr-51785","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040913222&doi=10.2308%2faccr-51785&partnerID=40&md5=d88fb11b9c61d8c9d4b19ae9a0a70bc0","McGill University, Canada","Rabier, M.R., McGill University, Canada","Gupta and Gerchak (2002) argue that different acquirers can arrive at different equity valuations for the same target depending on their strategic intent. A reason for acquirers' equity valuations to vary, holding target fundamentals constant, may be that individual acquirers place different weights on underlying fundamentals. I examine this possibility using Burgstahler and Dichev's (1997) theoretical framework. They argue that the relative importance of earnings and book value depends on expected adaptation, which is the likelihood that the existing earnings generating process will be altered. Using restructuring costs to proxy for expected adaptation at the individual acquirer level, I find that the association between the target's earnings (book value) and acquirers' bid prices is decreasing (increasing) in expected adaptation, consistent with theoretical predictions. These findings are less pronounced during merger waves and intense bid competition for the target.",,,Article,"Final","",Scopus,2-s2.0-85040913222
"Kim S., Ng J.","57197723995;57061686300;","Executive bonus contract characteristics and share repurchases",2018,"Accounting Review","93","1",,"289","316",,2,"10.2308/accr-51731","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040909170&doi=10.2308%2faccr-51731&partnerID=40&md5=7c2791af075ce49e506a18ee05dae23e","Monash University, Australia; Chinese University of Hong Kong, Hong Kong","Kim, S., Monash University, Australia; Ng, J., Chinese University of Hong Kong, Hong Kong","We examine the importance of bonus contract characteristics, specifically, with respect to the relation between EPS-based bonuses and share repurchases. We find that managers are more (less) likely to repurchase shares and spend more (less) on repurchases when as-if EPS just misses (exceeds) the bonus threshold (maximum) EPS level. We find no such relation when as-if EPS is further below the threshold. We find weak evidence that managers of firms with as-if EPS just below the EPS target are more likely to repurchase shares and spend more on repurchases relative to firms with as-if EPS just above the EPS target. We further find that the incentive-zone slopes specified in the bonus contracts are positively associated with share repurchases. Managers making bonusmotivated repurchases do so at a higher cost. Together, our results highlight the importance of compensation design in motivating managers' behavior and aligning managers' incentives with shareholders.","Annual cash bonus; Earnings per share; Executive compensation; Open market share repurchase",,Article,"Final","",Scopus,2-s2.0-85040909170
"Harp N.L., Barnes B.G.","55516876400;56419452200;","Internal control weaknesses and acquisition performance",2018,"Accounting Review","93","1",,"235","258",,13,"10.2308/accr-51780","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040903653&doi=10.2308%2faccr-51780&partnerID=40&md5=3f703165ea7ff62cb4cb4d65aab3d0f7","Clemson University, United States; Washington State University, United States","Harp, N.L., Clemson University, United States; Barnes, B.G., Washington State University, United States","This study examines internal control weaknesses (ICWs) reported under Sarbanes-Oxley (SOX) Section 302 in the context of mergers and acquisitions. We predict that problems in an acquirer's internal control environment have adverse operational implications for acquisition performance. We argue that acquirers with lowquality internal information needed to select profitable acquisitions will make poorer acquisition decisions. We also argue that ICWs impede effective monitoring and are likely to hinder integration tasks that are important to acquisition profitability. We find that ICWs disclosed prior to an acquisition announcement predict significantly lower post-acquisition operating performance and abnormal stock returns. Poorer post-acquisition performance is concentrated in ICWs that are expected to impede acquisition activities (i.e., forecasting/valuation, monitoring, and integration). Our findings contribute to the literature linking ineffective internal control over financial reporting to negative operational outcomes. We also contribute to the SOX cost-benefit debate by documenting a previously unidentified benefit of ICW disclosures.","Acquirer returns; Internal controls; Material weaknesses; Mergers and acquisitions; Operating performance; Sarbanes-Oxley",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-85040903653
"DeFond M.L.","6602107693;","Annual editor report: The accounting review",2017,"Accounting Review","92","6",,"1","24",,,"10.2308/accr-10612","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056615103&doi=10.2308%2faccr-10612&partnerID=40&md5=68b7f3a2fa16d447cb0f6858dc971b52","University of Southern California, United States","DeFond, M.L., University of Southern California, United States",[No abstract available],,,Review,"Final","All Open Access, Bronze",Scopus,2-s2.0-85056615103
"Kelly K., Presslee A., Webb R.A.","18436973600;55516416100;7402883380;","The effects of tangible rewards versus cash rewards in consecutive sales tournaments: A field experiment",2017,"Accounting Review","92","6",,"165","185",,15,"10.2308/accr-51709","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036591502&doi=10.2308%2faccr-51709&partnerID=40&md5=793fdd8aa7448caad289a0c3556fb2b7","University of Central Florida, United States; University of Pittsburgh, United States; University of Waterloo, Canada","Kelly, K., University of Central Florida, United States; Presslee, A., University of Pittsburgh, United States; Webb, R.A., University of Waterloo, Canada","We investigate the effects of tangible versus cash rewards in a repeated tournament setting. Firms frequently use tangible rewards to motivate employees, but minimal research has examined their effects relative to cash rewards. We conducted a field experiment at a rug wholesaler that held two consecutive sales tournaments for its retailers. The top three retailers in each tournament received either cash rewards or tangible rewards (gift cards) to be distributed to sales staff. We do not find significant effects of reward type in the first tournament. However, in the second tournament, retailers eligible for tangible rewards significantly outperformed those eligible for cash rewards, and this effect is driven by Tournament One losers. Our results are consistent with the theory that Tournament One losers competing for tangible rewards increased sales effort in the second tournament significantly more than their counterparts competing for cash rewards. Our results have practical and theoretical implications.","Performance.; Repeated tournaments; Tangible rewards",,Article,"Final","",Scopus,2-s2.0-85036591502
"Ma M.S.","55810078200;","Economic links and the spillover effect of earnings quality on market risk",2017,"Accounting Review","92","6",,"213","245",,11,"10.2308/accr-51715","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036583622&doi=10.2308%2faccr-51715&partnerID=40&md5=263388355f9bef74c9127012393d6f8f","American University, United States","Ma, M.S., American University, United States","Based on the theoretical framework of Lambert, Leuz, and Verrecchia (2007), I predict that higher earnings quality of economically related public firms reduces a firm's systematic market risk. Using alternative sets of economically related firms, this study provides significant evidence consistent with my prediction. Specifically, a conditional CAPM regression shows that not only a firm's earnings quality, but also the earnings quality of related public firms lowers the loading of firm excess return on the market factor. Regressions based on the three-factor model provide similar results. Further, I provide evidence on cross-sectional variations in the effect of related firms' earnings quality. These results are economically significant and robust in several additional tests. Overall, this study contributes to the literature by providing the first evidence on the long-term externalities of financial information quality in the capital market.","Cost of equity capital.; Earnings quality; Economically related firms; Market risk; Spillover effect",,Article,"Final","",Scopus,2-s2.0-85036583622
"Blouin J.L., Bushee B.J., Sikes S.A.","23007865400;6602721134;23010445400;","Measuring tax-sensitive institutional investor ownership",2017,"Accounting Review","92","6",,"49","76",,3,"10.2308/accr-51719","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036576771&doi=10.2308%2faccr-51719&partnerID=40&md5=a2f427356f3d0a64ec7050921495afcd","University of Pennsylvania, United States","Blouin, J.L., University of Pennsylvania, United States; Bushee, B.J., University of Pennsylvania, United States; Sikes, S.A., University of Pennsylvania, United States","We classify all institutional investors that file Form 13-F over the period 1995-2013 as either ""taxsensitive"" or ""tax-insensitive"" based on their trading behavior and portfolio characteristics. We examine tests of the effects of investor tax-sensitivity on portfolio rebalancing, price pressure, and fund performance, and compare our measure of tax-sensitive institutional investor ownership to three measures used in prior studies. We show that our measure of tax-sensitive investors dominates other measures in the portfolio rebalancing and price pressure tests. In the fund performance test, our measure of tax-sensitivity is the only one that finds that tax-sensitive investors have significantly lower returns on their portfolio stocks, which is a new result in the literature.","Capital gains taxes; Institutional investors; Portfolio performance.; Tax-sensitivity",,Article,"Final","",Scopus,2-s2.0-85036576771
"Baldenius T., Michaeli B.","6603186361;57195726326;","Investments and risk transfers",2017,"Accounting Review","92","6",,"1","23",,4,"10.2308/accr-51720","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036566132&doi=10.2308%2faccr-51720&partnerID=40&md5=53f6e0632878dc088773435025d5e53c","Columbia University, United States; University of California, Los Angeles, United States","Baldenius, T., Columbia University, United States; Michaeli, B., University of California, Los Angeles, United States","We demonstrate a novel link between relationship-specific investments and risk in a setting where division managers operate under moral hazard and collaborate on joint projects. Specific investments increase efficiency at the margin. This expands the scale of operations and thereby adds to the compensation risk borne by the managers. Accounting for this investment/risk link overturns key findings from prior incomplete contracting studies. We find that if the investing manager has full bargaining power vis-à-vis the other manager, he will underinvest relative to the benchmark of contractible investments; with equal bargaining power, however, he may overinvest. The reason is that the investing manager internalizes only his own share of the investment-induced risk premium (we label this a ""risk transfer""), whereas the principal internalizes both managers' incremental risk premia. We show that high pay-performance sensitivity (PPS) reduces the managers' incentives to invest in relationshipspecific assets. The optimal PPS, thus, trades off investment and effort incentives.","Hold-up; Incomplete contracting; Overinvestment; Pay performance sensitivity (PPS).; Risk externalities",,Article,"Final","",Scopus,2-s2.0-85036566132
"Kim S., Klein A.","57213778876;7402143326;","Did the 1999 NYSE and NASDAQ listing standard changes on audit committee composition benefit investors?",2017,"Accounting Review","92","6",,"187","212",,8,"10.2308/accr-51716","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036557378&doi=10.2308%2faccr-51716&partnerID=40&md5=2f933a69a3ff95890a893af5c531c375","Baruch College-CUNY, United States; New York University, United States; University of Warwick, United Kingdom","Kim, S., Baruch College-CUNY, United States; Klein, A., New York University, United States, University of Warwick, United Kingdom","In December 1999, the SEC instituted a new listing standard for NYSE and NASDAQ firms. Listed firms were now required to maintain fully independent audit committees with at least three members. In July 2002, the U.S. Congress legislated these standards through the Sarbanes-Oxley Act. Our research question is whether all investors benefited from the 1999 new rule. Using both an event study and a difference-in-differences methodology, we find no evidence of higher market value or better financial reporting quality resulting from this rule.","Audit committee independence; Exchange listing standards; Securities regulation.",,Article,"Final","",Scopus,2-s2.0-85036557378
"Hsu C., Novoselov K.E., Wang R.","24722492000;36714149800;57199208559;","Does accounting conservatism mitigate the shortcomings of CEO overconfidence?",2017,"Accounting Review","92","6",,"77","101",,8,"10.2308/accr-51718","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036548773&doi=10.2308%2faccr-51718&partnerID=40&md5=5715c7b520aff1e01e3c0c9232c00205","Hong Kong University of Science and Technology, Hong Kong; Shanghai University of Finance and Economics, China; University of Melbourne, Australia","Hsu, C., Hong Kong University of Science and Technology, Hong Kong; Novoselov, K.E., Shanghai University of Finance and Economics, China; Wang, R., University of Melbourne, Australia","Overconfident CEOs are more willing to initiate investment projects that require experimentation, yet tend to defer responding to the bad news when the project is not performing as planned. Accounting conservatism accelerates the recognition of the bad news and its dissemination to gatekeepers, making it more likely that the CEO will acknowledge the problem earlier and start searching for solutions. Therefore, firms where both characteristics- CEO overconfidence and accounting conservatism-are present should perform better. Our empirical tests confirm this prediction: Firms that practice conservative accounting and are run by overconfident CEOs exhibit better cash flow performance. Our results continue to hold in a variety of settings, including market reactions to acquisitions, cash flow downside risk, and analyst following. Further, the joint positive effect of CEO overconfidence and accounting conservatism on firm performance is stronger in high-uncertainty environments and in firms facing less stringent financing constraints, consistent with theoretical predictions.","Accounting conservatism; Exploration.; Overconfidence; Performance; Real options",,Article,"Final","",Scopus,2-s2.0-85036548773
"Shivakumar L., Urcan O.","6602461206;38362586900;","Why does aggregate earnings growth reflect information about future inflation?",2017,"Accounting Review","92","6",,"247","276",,16,"10.2308/accr-51714","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036530735&doi=10.2308%2faccr-51714&partnerID=40&md5=cecae73faca292d749a80afdd2957399","London Business School, United Kingdom; University of Illinois, Urbana-Champaign, United States","Shivakumar, L., London Business School, United Kingdom; Urcan, O., University of Illinois, Urbana-Champaign, United States","We propose two explanations for the previously documented relation between aggregate earnings growth and future inflation: One based on firms changing their investment in response to earnings growth, and the other based on consumers varying their consumption in response to wealth effects of profitability growth. As the supply of goods and services is relatively inelastic in the short run, our arguments imply that changes to near-term demand for investment (consumption) will affect the prices of investment (consumption) goods and services. Consistent with the investment-based argument, we find that profitability changes predict investment and Producer Price Index (PPI) shifts in subsequent quarters. Our analyses also reveal that aggregate earnings growth predicts future investment and PPI forecast errors. We find, at best, weak evidence for the consumption-based link between aggregate earnings growth and future inflation.","Aggregate earnings; Inflation; Investments; Macroeconomic forecasts.",,Article,"Final","",Scopus,2-s2.0-85036530735
"Karpoff J.M., Koester A., Lee D.S., Martin G.S.","6603007110;56835500000;24073704200;24073582100;","Proxies and databases in financial misconduct research",2017,"Accounting Review","92","6",,"129","163",,49,"10.2308/accr-51766","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036500706&doi=10.2308%2faccr-51766&partnerID=40&md5=bd3b38d0fe87736a131cde52be39c874","University of Washington, United States; Georgetown University, United States; University of Nevada, Las Vegas, United States; American University, United States","Karpoff, J.M., University of Washington, United States; Koester, A., Georgetown University, United States; Lee, D.S., University of Nevada, Las Vegas, United States; Martin, G.S., American University, United States","An extensive literature examines the causes and effects of financial misconduct based on samples drawn from four popular databases that identify restatements, securities class action lawsuits, and Accounting and Auditing Enforcement Releases (AAERs). We show that the results from empirical tests can depend on which database is accessed. To examine the causes of such discrepancies, we compare the information in each database to a detailed sample of 1,243 case histories in which regulators brought enforcement actions for financial misrepresentation. These comparisons allow us to identify, measure, and estimate the economic importance of four features of each database that affect inferences from empirical tests. We show the extent to which each database is subject to these concerns and offer suggestions for researchers using these databases.","AAERs.; Financial misconduct; Restatements; Securities class action lawsuits",,Article,"Final","",Scopus,2-s2.0-85036500706
"Jennings J., Lee J., Matsumoto D.A.","55694299200;57216486655;7007115057;","The effect of industry co-location on analysts' information acquisition costs",2017,"Accounting Review","92","6",,"103","127",,6,"10.2308/accr-51727","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036494569&doi=10.2308%2faccr-51727&partnerID=40&md5=3895326351cc22db25cf156a085c1d29","Washington University, St. Louis, United States; University of Georgia, United States; University of Washington, United States","Jennings, J., Washington University, St. Louis, United States; Lee, J., University of Georgia, United States; Matsumoto, D.A., University of Washington, United States","We examine how the co-location of firms in the same industry affects analysts' cost of gathering and processing information. We find that when the firms in an analyst's portfolio are located farther away from other firms in the same industry, the analyst's portfolio size is smaller and average forecast accuracy is lower. We further find that the additional costs that analysts incur to follow distant firms are amplified when earnings are more difficult to forecast. Last, we provide some evidence that managers are more knowledgeable about other firms in the same geographic area. Specifically, managers are more likely to reference firms in their industry that are geographically closer during conference calls. This paper provides additional evidence that the co-location of firms in the same industry not only affects operating and strategic decisions (as documented in the existing literature), but also analysts' costs of gathering and analyzing information about the firm.","Geographic location; Security analysts.; Voluntary disclosure",,Article,"Final","",Scopus,2-s2.0-85036494569
"Barth M.E., Landsman W.R., Taylor D.J.","7102913646;7003762923;26041107500;","The JOBS act and information uncertainty in IPO firms",2017,"Accounting Review","92","6",,"25","47",,24,"10.2308/accr-51721","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018226308&doi=10.2308%2faccr-51721&partnerID=40&md5=efc44092ad23a9777f3b1d44f5317c3f","Stanford University, United States; University of North Carolina, Chapel Hill, United States; University of Pennsylvania, United States","Barth, M.E., Stanford University, United States; Landsman, W.R., University of North Carolina, Chapel Hill, United States; Taylor, D.J., University of Pennsylvania, United States","This study examines the effect of the Jumpstart Our Business Startups Act (JOBS Act) on information uncertainty in IPO firms. The JOBS Act creates a new category of issuer, the Emerging Growth Company (EGC), and exempts EGCs from several disclosures required for non-EGCs. Our findings are consistent with proprietary cost concerns motivating EGCs to eliminate some of the previously mandatory disclosures, which increases information uncertainty in the IPO market, attracts investors who rely more on private information, and leads EGCs to provide additional post-IPO disclosures to mitigate the increased information uncertainty. Our results also are consistent with agency explanations, whereby EGCs exploit the JOBS Act provisions to avoid compensation-related disclosures, which results in larger IPO underpricing for such firms. Overall, we provide evidence on how reduced mandatory disclosure affects the IPO market.","Information uncertainty; JOBS Act; Mandatory disclosure; Proprietary costs; Underpricing; Volatility.; Voluntary disclosure",,Article,"Final","",Scopus,2-s2.0-85018226308
"Ernstberger J., Link B., Stich M., Vogler O.","24831587700;55383659200;49964644700;25642084900;","The real effects of mandatory quarterly reporting",2017,"Accounting Review","92","5",,"33","60",,17,"10.2308/accr-51705","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029654664&doi=10.2308%2faccr-51705&partnerID=40&md5=a7052c871797b6c685de8ed4c16b5ff0","Technische Universität München, Germany; Projekt Fundraising GmbH, Germany; Universität zu Köln, Germany; Ledvance GmbH, Germany","Ernstberger, J., Technische Universität München, Germany; Link, B., Projekt Fundraising GmbH, Germany; Stich, M., Universität zu Köln, Germany; Vogler, O., Ledvance GmbH, Germany","This paper examines how mandatory quarterly reporting affects managers' business decisions in terms of real activities manipulations. For our analyses, we use the setting of the European Union, where the reporting frequency was increased with the introduction of a mandate to issue Interim Management Statements (IMSs) on a quarterly basis. Controlling for accrual-based earnings management, we find an increase in real activities manipulations for firms mandated to switch from semiannual to quarterly IMS reporting, relative to matched control firms. This finding is in line with the notion of higher managerial short-termism resulting from increased reporting frequency requirements. Further, we provide evidence that reporting frequency-induced real activities manipulations are more pronounced if the price pressure from investors is high and if the informativeness of IMS disclosure is low. We also document that reporting frequency-induced real activities manipulations are followed by a short-term increase and then a decrease in firms' operating performance.","Interim Management Statements; Quarterly disclosure; Quarterly reporting; Real activities manipulations; Real effects",,Article,"Final","",Scopus,2-s2.0-85029654664
"He X., Pittman J.A., Rui O.M., Wu D.","56113702000;7102551904;6506602801;23390969100;","Do social ties between external auditors and audit committee members affect audit quality?",2017,"Accounting Review","92","5",,"61","87",,42,"10.2308/accr-51696","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029646531&doi=10.2308%2faccr-51696&partnerID=40&md5=975535f9f6641e19e1ebf9217cb25bb1","Shanghai University of Finance and Economics, China; Memorial University of Newfoundland, Canada; China Europe International Business School, China; Chinese University of Hong Kong, Hong Kong","He, X., Shanghai University of Finance and Economics, China; Pittman, J.A., Memorial University of Newfoundland, Canada; Rui, O.M., China Europe International Business School, China; Wu, D., Chinese University of Hong Kong, Hong Kong","We examine whether social ties between engagement auditors and audit committee members shape audit outcomes. Although these social ties can facilitate information transfer and help auditors alleviate management pressure to waive correction of detected misstatements, close interpersonal relations can undermine auditors' monitoring of the financial reporting process. We measure social ties by alma mater connections, professor-student bonding, and employment affiliation, and audit quality by the propensity to render modified audit opinions, financial reporting irregularities, and firm valuation. Our evidence implies that social ties between engagement auditors and audit committee members impair audit quality. In additional results consistent with expectations, we generally find that this relation is concentrated where social ties are more salient, or firm governance is relatively poor and agency conflicts are more severe. Implying reciprocity stemming from social networks, we also report some suggestive evidence that audit fees are higher in the presence of social ties between an engagement auditor and the audit committee. Collectively, our analysis lends support to the narrative that the negative implications-namely, worse audit quality and higher audit fees-of these social ties may outweigh the benefits.","Audit committee; External auditors; Social ties",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-85029646531
"Akbas F., Jiang C., Koch P.D.","56798118800;57215030438;7202929123;","The trend in firm profitability and the cross-section of stock returns",2017,"Accounting Review","92","5",,"1","32",,9,"10.2308/accr-51708","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029646107&doi=10.2308%2faccr-51708&partnerID=40&md5=b704d5a3510fed176e8fd46f546583ab","University of Illinois at Chicago, United States; University of South Carolina, United States; University of Kansas, United States","Akbas, F., University of Illinois at Chicago, United States; Jiang, C., University of South Carolina, United States; Koch, P.D., University of Kansas, United States","This study shows that the recent trajectory of a firm's profits predicts future profitability and stock returns. The predictive information contained in the trend of profitability is not subsumed by the level of profitability, earnings momentum, or other well-known determinants of stock returns. The profit trend also predicts the earnings surprise one quarter later, and analyst forecast errors over the following 12 months, suggesting that sophisticated investors underreact to the information in the profit trend. On the other hand, we find no evidence of investor overreaction, and our results cannot be explained by well-known risk factors.","Asset pricing; Expected returns; Gross profitability; Mispricing; Profitability growth; Trend in profitability; Underreaction",,Article,"Final","",Scopus,2-s2.0-85029646107
"Towery E.M.","55964136000;","Unintended consequences of linking tax return disclosures to financial reporting for income taxes: Evidence from Schedule UTP",2017,"Accounting Review","92","5",,"201","226",,16,"10.2308/accr-51660","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029638796&doi=10.2308%2faccr-51660&partnerID=40&md5=8df840cfa8c004adf514933df7d5e737","University of Georgia, United States","Towery, E.M., University of Georgia, United States","This study exploits the implementation of IRS Schedule UTP to examine how linking tax return disclosures to financial reporting for income taxes affects firms' reporting decisions. Using confidential tax return data and public financial statement data, I find that after imposition of Schedule UTP reporting requirements, firms report lower financial reporting reserves for uncertain income tax positions, but do not claim fewer income tax benefits on their federal tax returns. The reduction in reserves is concentrated among multinational firms and firms with larger reserves prior to Schedule UTP. These findings suggest that some firms changed their financial reporting for uncertain tax positions to avoid Schedule UTP reporting requirements without changing the underlying positions. In contrast with prior studies, this evidence represents a permanent, rather than a temporary, tax-induced reporting change. My results imply that linking tax return disclosures to financial reporting can have unintended effects on firms' reporting decisions.","Accounting for income taxes; Disclosure; IRS; Schedule UTP; Tax uncertainty",,Article,"Final","",Scopus,2-s2.0-85029638796
"Michaeli B.","57195726326;","Divide and inform: Rationing information to facilitate persuasion",2017,"Accounting Review","92","5",,"167","199",,3,"10.2308/accr-51707","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029635980&doi=10.2308%2faccr-51707&partnerID=40&md5=4b36da248b5eb7a246f8a4eec284c412","University of California, Los Angeles, United States","Michaeli, B., University of California, Los Angeles, United States","This paper develops a Bayesian persuasion model that examines a manager's incentives to gather information when the manager can disseminate this information selectively to interested parties (""users"") and when the objectives of the manager and the users are not perfectly aligned. The model predicts that if the manager can choose the subset of users to receive the information, then the manager may gather more precise information. The paper identifies conditions under which a regime that allows managers to grant access to information selectively maximizes aggregate information. Strikingly, this happens when the objectives of managers and users are sufficiently misaligned. This finding is robust to variations of the model, such as information acquisition cost, unobservable precision, sequential noisy actions taken by the users, and delayed choice of the subset of users in ""the know."" These results call into doubt the common belief that forcing managers to provide unrestricted access to information to all potential users is always beneficial.","Bayesian persuasion; Endogenous quality of information; Ex ante commitment to information design; Persuasion with multiple receivers; Selective dissemination; Verifiable messages",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-85029635980
"Versano T., Trueman B.","57195726251;6602263325;","Expectations management",2017,"Accounting Review","92","5",,"227","246",,3,"10.2308/accr-51644","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029623557&doi=10.2308%2faccr-51644&partnerID=40&md5=d6454b22d2ebcaa7b4136ad8e206e774","Tel Aviv University, Israel; University of California, Los Angeles, United States","Versano, T., Tel Aviv University, Israel; Trueman, B., University of California, Los Angeles, United States","This paper analyzes a manager's optimal expectations management strategy in a setting in which the manager provides forecast guidance to an analyst both privately and publicly. Conventional wisdom suggests that managers use private communications with analysts and public earnings forecasts interchangeably to guide analysts' earnings forecasts downward toward lower earnings targets. Our analysis shows that in markets with rational investors, private and public guidance play very different roles in managing expectations, and that managers benefit from downward guidance only in their private communication with analysts. In their public forecasts, they benefit from introducing an upward bias. We explore how the effectiveness of the private and public channels in communicating information to analysts affects managers' incentive to engage in expectations management, and provide a number of empirical predictions. Among other results, we show how reducing private communication between managers and analysts (through means such as Regulation Fair Disclosure) can increase price efficiency, weaken managers' motivation to engage in private, as well as public, expectations management, and increase managers' motivation to provide public disclosures.","Analyst forecast; Earnings management; Expectations management; Managerial forecast; Meet-or-beat; Reg fd",,Article,"Final","",Scopus,2-s2.0-85029623557
"Joe J.R., Vandervelde S.D., Wu Y.-J.","7005313936;14826219300;56600949900;","Use of high quantification evidence in fair value audits: Do auditors stay in their comfort zone?",2017,"Accounting Review","92","5",,"89","116",,11,"10.2308/accr-51662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029612100&doi=10.2308%2faccr-51662&partnerID=40&md5=776325ce244d66abee4c95aeab9db534","University of Delaware, United States; University of South Carolina, United States; Texas Tech University, United States","Joe, J.R., University of Delaware, United States; Vandervelde, S.D., University of South Carolina, United States; Wu, Y.-J., Texas Tech University, United States","Research documents significant management bias and opportunism around the discretionary inputs of audited complex estimates, including fair value measurements (FVMs), which raises questions about auditors' ability to test these estimates. We examine how the degree of quantification in client evidence and client control environment risk influence auditors' planned substantive testing of management's discretionary inputs to FVMs. We find that auditors allocate a lower proportion of effort to testing the subjective inputs to the fair value estimate when the degree of quantification in the client evidence and level of client risk are both high. Further, this tendency persists even after auditors receive a regulatory practice alert reminding them to focus more audit effort on testing fair value (FV) inputs that are susceptible to management bias, and despite the auditors increasing their overall audit effort. Qualitative analyses of the procedures auditors selected indicate that inapt attention to the degree of quantification in evidence is a potential root cause of the difficulty auditors encounter when testing complex estimates. Our results imply that in situations where both quantified and non-quantified data are important to the audit, there is the potential for management to manipulate the evidence they provide to auditors to distract auditors from testing the discretionary inputs to complex estimates that are susceptible to management opportunism.","Audit planning; Auditing discretionary inputs; Auditing fair value; Auditing management bias and opportunism; Client risk; Client specialist; Control environment risk; Entitylevel controls; Pcaob alert; Quantification effect; Valuation specialist",,Article,"Final","",Scopus,2-s2.0-85029612100
